nombre,tipo,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,opcion_e,correcta,orden,puntos,seccion
pregunta_1,single,"¿Cuál es la capital de Francia? Identifica la ciudad más importante del país galo.",Madrid es capital de España,Roma es capital de Italia,París es capital de Francia,Berlín es capital de Alemania,Londres es capital de Inglaterra,C,1,1.0,Geografía
pregunta_2,single,"¿En qué año llegó el hombre a la Luna por primera vez? Identifica el año del alunizaje.",1965 no fue el alunizaje,1967 no fue el alunizaje,1969 SÍ fue el alunizaje,1971 no fue el alunizaje,1973 no fue el alunizaje,C,2,1.0,Historia
pregunta_3,single,"¿Cuál es el planeta más grande del sistema solar? Identifica el gigante gaseoso.",Tierra es pequeño,Marte es pequeño,Júpiter es el más grande,Saturno es el segundo,Neptuno es pequeño,C,3,1.0,Astronomía
pregunta_4,single,"¿Cuántos huesos tiene el cuerpo humano adulto? Considera el esqueleto completo.",106 huesos no es correcto,206 huesos es correcto,306 huesos es demasiado,406 huesos es demasiado,186 huesos no es correcto,B,4,1.0,Biología
pregunta_5,single,"¿Cuál es el símbolo químico del agua? Identifica la fórmula molecular correcta.",HO no es correcto,H2O es la fórmula del agua,OH no es correcto,H2O2 es peróxido,HO2 no es correcto,B,5,1.0,Química
pregunta_6,single,"¿En qué país se encuentra la ciudadela inca de Machu Picchu? Identifica el país sudamericano.",México no tiene Machu Picchu,Colombia no tiene Machu Picchu,Perú SÍ tiene Machu Picchu,Chile no tiene Machu Picchu,Ecuador no tiene Machu Picchu,C,6,1.0,Geografía
pregunta_7,single,"¿Cuál es el río más largo del mundo? Identifica el cauce fluvial con mayor longitud.",El Nilo es el más largo,El Amazonas es el segundo,El Mississippi es en USA,El Yangtsé es en China,El Zambezi es en África,A,7,1.0,Geografía
pregunta_8,single,"¿Cuántos continentes hay en la Tierra? Cuenta todos los continentes reconocidos.",5 continentes no es correcto,6 continentes no es correcto,7 continentes es correcto,8 continentes no es correcto,9 continentes no es correcto,C,8,1.0,Geografía
pregunta_9,single,"¿Cuál es la velocidad de la luz en kilómetros por segundo? Identifica la velocidad en el vacío.",150000 km/s es muy lento,300000 km/s es la velocidad de la luz,450000 km/s es muy rápido,600000 km/s es muy rápido,900000 km/s es muy rápido,B,9,1.0,Física
pregunta_10,single,"¿Quién pintó la Mona Lisa? Identifica al artista del Renacimiento.",Van Gogh pintó estrellas,Picasso pintó cubismo,Leonardo da Vinci pintó la Mona Lisa,Rembrandt pintó retratos,Monet pintó nenúfares,C,10,1.0,Arte
pregunta_11,single,"¿Cuál es el gas más abundante en la atmósfera terrestre? Identifica el componente mayoritario.",Oxígeno es el 21%,Dióxido de carbono es微量,Nitrógeno es el 78%,Hidrógeno es微量,Argón es微量,C,11,1.0,Química
